,genomesize,mingt,rrn,gramstain,kE,yEV,aX,gV,sav,yields,rho,Vmax,KD,BGE
1,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.75,0.003192072,0.034131872,0.008627159,0.597138076
2,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.75,0.021797179,0.261935626,0.037816712,0.383258852
3,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.75,0.002988787,0.031773398,0.008646115,0.596224521
4,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.75,0.003174753,0.033627992,0.009529875,0.596169478
5,6.793945,5.32,3,2,1.187556721,1.268776278,0.00168609,0.257942124,1.601821482,0.75,0.003796131,0.040331448,0.010313364,0.598890183
6,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.75,0.008106591,0.083574935,0.022988576,0.446059613
7,5.642219,2.9,3,2,1.662426368,1.268776278,0.007238338,0.283840831,2.151122023,0.75,0.002932664,0.03107363,0.00636871,0.592556484
8,4.904121,6.24,5,2,1.071066953,1.439874503,0.002132716,0.253618415,2.687285911,0.75,0.002711808,0.029634373,0.004980655,0.528575459
9,6.067264,6.09,3,2,1.088478186,1.268776278,0.002462653,0.254229781,1.916888565,0.75,0.00245453,0.02638053,0.006044059,0.594501441
10,5.236918,2.72,9,1,1.713242229,1.704336196,0.003851715,0.287819287,2.421322349,0.75,0.005950776,0.075337646,0.010657333,0.459181745
11,4.705879,3.6,7,1,1.49028861,1.580239892,0.002592987,0.272466395,2.86918788,0.75,0.004512343,0.058235835,0.007189222,0.490478499
12,5.093035,2.24,9,1,1.865010579,1.704336196,0.002982621,0.301987954,2.530798404,0.75,0.007159142,0.089911129,0.01211185,0.461679714
13,6.306952,4.7,4,2,1.281439027,1.359773371,0.002408548,0.261873106,1.80255251,0.75,0.003350549,0.035708034,0.008310387,0.558592962
14,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.75,0.003051246,0.032664021,0.007267666,0.557879015
15,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.75,0.002752023,0.02911021,0.008256847,0.59362779
16,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.75,0.003934048,0.049259609,0.011984496,0.438661178
17,7.485871,4.36,8,1,1.339486862,1.643835616,0.001696574,0.264536854,1.373271716,0.75,0.002699508,0.033807249,0.00872959,0.463141805
18,6.657122,3.83,7,1,1.441204817,1.580239892,0.001384077,0.269708105,1.654393191,0.75,0.003408713,0.042933515,0.009100524,0.485307496
19,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.75,0.006661745,0.078548338,0.019576415,0.3245831
20,6.208105,0.96,8,2,2.431609475,1.643835616,0.001524297,0.434182184,1.848321703,0.75,0.03752329,0.366251255,0.080585103,0.514490026
21,8.179139,7.05,3,2,0.985893885,1.268776278,0.001857236,0.250785955,1.193165049,0.75,0.002461137,0.025898942,0.009109519,0.589988627
22,6.640086,6.11,3,1,1.086124111,1.268776278,0.004200387,0.254146445,1.661135662,0.75,0.001828984,0.023343074,0.00534088,0.592293672
23,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.75,0.002124339,0.026964204,0.005957219,0.593193252
24,2.934896,6.3,3,2,1.064257172,1.268776278,0.004072804,0.253382415,6.070606279,0.75,0.001044957,0.011794757,0.001700551,0.585386623
25,2.785891,6.78,3,2,1.012740988,1.268776278,0.002055932,0.25165153,6.594023235,0.75,0.001564564,0.017718217,0.001955815,0.591077033
26,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.75,0.004543973,0.056430481,0.015479504,0.394907678
27,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.75,0.002416235,0.025916815,0.006715762,0.409007936
28,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.835384615,0.001581357,0.019003087,0.00431508,0.372216994
29,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.835384615,0.00048849,0.005193073,0.002652529,0.647628468
30,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.835384615,0.000437466,0.004633783,0.002566528,0.644359258
31,6.793945,5.32,3,2,1.187556721,1.268776278,0.00168609,0.257942124,1.601821482,0.835384615,0.000476732,0.005064974,0.002560159,0.647813252
32,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.835384615,0.000706223,0.007280805,0.003432465,0.465061946
33,5.642219,2.9,3,2,1.662426368,1.268776278,0.007238338,0.283840831,2.151122023,0.835384615,0.000702111,0.007439359,0.002691843,0.653124826
34,4.904121,6.24,5,2,1.071066953,1.439874503,0.002132716,0.253618415,2.687285911,0.835384615,0.000955166,0.010437957,0.00282477,0.5835733
35,6.067264,6.09,3,2,1.088478186,1.268776278,0.002462653,0.254229781,1.916888565,0.835384615,7.36E-05,0.000790937,0.001373812,0.568736348
36,5.236918,2.72,9,1,1.713242229,1.704336196,0.003851715,0.287819287,2.421322349,0.835384615,0.000370047,0.004684841,0.00189753,0.477322603
37,4.705879,3.6,7,1,1.49028861,1.580239892,0.002592987,0.272466395,2.86918788,0.835384615,0.000136173,0.00175743,0.001415317,0.487072736
38,5.093035,2.24,9,1,1.865010579,1.704336196,0.002982621,0.301987954,2.530798404,0.835384615,0.000421469,0.005293201,0.001960263,0.479660431
39,6.306952,4.7,4,2,1.281439027,1.359773371,0.002408548,0.261873106,1.80255251,0.835384615,0.000124143,0.001323042,0.001513302,0.558565825
40,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.835384615,8.86E-05,0.000948532,0.001409781,0.53527265
41,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.835384615,3.48E-05,0.000367838,0.001304816,0.305920877
42,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.835384615,5.31E-05,0.000665034,0.001370886,0.281921825
43,7.485871,4.36,8,1,1.339486862,1.643835616,0.001696574,0.264536854,1.373271716,0.835384615,0.000220783,0.002764968,0.001933881,0.476873921
44,6.657122,3.83,7,1,1.441204817,1.580239892,0.001384077,0.269708105,1.654393191,0.835384615,0.000212686,0.002678823,0.001786458,0.502379267
