,genomesize,mingt,rrn,gramstain,kE,yEV,aX,gV,sav,yields,rho,Vmax,KD,BGE
1,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.835384615,2.60E-05,0.000277943,0.0012704,0.1514341
2,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.835384615,2.60E-05,0.000277943,0.001325784,0.151388189
3,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.933333333,1.09E-05,0.000116095,0.001512635,0.193031783
4,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.572,6.94E-05,0.000737361,0.0013351,0.178339931
5,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.572,8.26E-05,0.000874565,0.001384296,0.219208945
6,6.069513,5.01,4,2,1.232718085,1.359773371,0.002789973,0.259778595,1.915761251,0.572,8.05E-05,0.000861961,0.001321636,0.226589087
7,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.572,8.53E-05,0.000902518,0.001387649,0.233699802
8,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.572,0.000108595,0.001359761,0.001474579,0.177655063
9,7.371174,1.43,23,1,2.190244495,2.41130031,0.01,0.352352262,1.407344452,0.572,0.000399305,0.004708192,0.002373017,0.196742504
10,8.015544,4.04,14,1,1.399116158,1.977331951,0.005623291,0.267484565,1.232050298,0.572,0.000288873,0.003587443,0.00215872,0.230613368
11,6.632341,8.33,12,2,0.875808688,1.872678994,0.002102646,0.247473855,1.664215784,0.572,0.000120691,0.001294546,0.001454274,0.162855164
12,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.7325,4.15E-05,0.000443775,0.001286703,0.11740263
13,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.7325,5.55E-05,0.000587304,0.001340531,0.248906317
14,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.7325,8.48E-05,0.00106182,0.001443867,0.239056028
15,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.9,1.69E-05,0.000180592,0.001487411,0.177556277
16,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.881111111,1.92E-05,0.000204959,0.001329141,0.169536534
17,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.762222222,3.32E-05,0.000355392,0.001352741,0.126346244
18,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.643333333,5.91E-05,0.000631604,0.001221148,0.093745663
19,7.106298,5.12,3,2,1.216306199,1.268776278,0.002628227,0.259099972,1.491515539,0.643333333,7.90E-05,0.000835881,0.001291249,0.205777257
20,7.372737,4.16,10,1,1.376145972,1.762357889,0.005978462,0.266322132,1.406870905,0.643333333,0.000120693,0.001511237,0.001425824,0.204248287
21,6.572728,4.74,3,1,1.274937838,1.268776278,0.003334126,0.26158646,1.688238279,0.643333333,6.11E-05,0.000776172,0.001222497,0.224626773
22,6.679185,7,3,2,0.990757793,1.268776278,0.00771777,0.25094099,1.645727212,0.286666667,0.0167027,0.178597005,0.036093475,0.226355522
23,5.37721,1.31,20,1,2.247728614,2.270981174,0.00328811,0.366392402,2.321819454,0.286666667,0.114055006,1.370593393,0.171211721,0.144243094
24,6.972827,6.09,3,2,1.088478186,1.268776278,0.001464266,0.254229781,1.537087028,0.286666667,0.015638999,0.16625615,0.036181219,0.226445977
25,7.193102,5.73,3,2,1.132663739,1.268776278,0.001904107,0.255834623,1.463046917,0.286666667,0.016612078,0.175960423,0.040272141,0.226441209
26,6.793945,5.32,3,2,1.187556721,1.268776278,0.00168609,0.257942124,1.601821482,0.286666667,0.019863478,0.211036645,0.043898907,0.22764428
27,7.244804,2.43,10,2,1.801882877,1.762357889,0.0017874,0.295626127,1.446508786,0.286666667,0.042418206,0.437310706,0.10257238,0.169478464
28,5.642219,2.9,3,2,1.662426368,1.268776278,0.007238338,0.283840831,2.151122023,0.286666667,0.015345334,0.162594578,0.025639129,0.224653294
